Rank,Jockey,Rides,Wins,2nds,3rds,S Rate,UDR
1,W KENNEDY,417,79,46,38,18.9%,0.281
2,M MCNAB,377,72,63,54,19.1%,0.332
3,J DOYLE,543,63,69,63,11.6%,0.225
4,O BOSSON,207,56,30,21,27.1%,0.385
5,C GRYLLS,404,50,44,54,12.4%,0.229
6,A COMIGNAGHI,320,44,54,38,13.8%,0.271
7,L ALLPRESS,359,44,38,40,12.3%,0.219
8,K ASANO,349,37,33,29,10.6%,0.186
9,J FAWCETT,305,37,31,20,12.1%,0.200
10,S SPRATT,360,36,40,36,10.0%,0.195
11,S WEATHERLEY,278,34,35,26,12.2%,0.223
12,L SUTHERLAND,334,33,25,29,9.9%,0.169
13,J PARKES,185,30,15,11,16.2%,0.227
14,K WILLIAMS,265,28,25,44,10.6%,0.213
15,M HASHIZUME,334,28,20,36,8.4%,0.153
16,N PARMAR,260,27,22,21,10.4%,0.178
17,K HERCOCK,318,26,31,36,8.2%,0.174
18,R ELLIOT,166,22,17,15,13.3%,0.220
19,C BARNES,345,21,24,25,6.1%,0.124
20,V COLGAN,234,20,27,26,8.5%,0.187
21,E NICHOLAS,193,19,25,20,9.8%,0.205
22,M CAMERON,232,19,23,23,8.2%,0.170
23,J RIDDELL,164,18,26,18,11.0%,0.234
24,S WYNNE,156,18,11,21,11.5%,0.199
25,C CAMPBELL,173,17,20,17,9.8%,0.195
26,D TAIT,119,16,10,13,13.4%,0.218
27,C BUTLER,111,15,8,12,13.5%,0.211
28,T NEWMAN,252,14,27,21,5.6%,0.143
29,C DELL,154,13,12,15,8.4%,0.160
30,K CHOWDHOORY,197,12,17,23,6.1%,0.148
31,M HUDSON,204,12,11,20,5.9%,0.121
32,J ALLEN,114,12,6,8,10.5%,0.158
33,K CHUNG,252,11,24,19,4.4%,0.122
34,L CALLAWAY,153,11,10,8,7.2%,0.126
35,J KAMARUDDIN,216,10,22,13,4.6%,0.123
36,L DOUGLAS,143,10,13,13,7.0%,0.151
37,A GOINDASAMY,159,10,12,11,6.3%,0.128
38,K MYERS,76,9,8,5,11.8%,0.199
39,Y ATCHAMAH,137,9,7,9,6.6%,0.116
40,B MAY,147,8,13,13,5.4%,0.133
41,M SINGH,139,8,9,8,5.8%,0.113
42,L HEMI,137,8,8,15,5.8%,0.127
43,B ROGERSON,185,7,13,13,3.8%,0.100
44,R MUDHOO,199,7,12,19,3.5%,0.101
45,A LAWSON-CAR,173,7,9,19,4.0%,0.106
46,D WILSON,96,7,9,7,7.3%,0.149
47,L SATHERLEY,173,7,6,19,4.0%,0.096
48,K MUDHOO,78,7,4,5,9.0%,0.140
49,B JACOBSON,74,7,4,5,9.5%,0.147
50,T MOODLEY,118,6,15,12,5.1%,0.155
51,G JOGOO,105,6,6,5,5.7%,0.105
52,K BAKKER,51,6,5,2,11.8%,0.185
53,D MONTES OCA,61,5,11,3,8.2%,0.199
54,M SANSON,64,5,7,4,7.8%,0.160
55,A BALLOO,101,5,7,8,5.0%,0.114
56,D DANIS,103,5,6,7,4.9%,0.104
57,S FANNIN,16,5,4,4,31.3%,0.535
58,T ABEL,50,5,3,1,10.0%,0.140
59,H MCNEILL,56,4,6,1,7.1%,0.137
60,C KWO,95,4,5,4,4.2%,0.085
61,M CROPP,19,4,4,2,21.1%,0.363
62,N HAILEY,76,4,4,8,5.3%,0.117
63,P MATTHEWS,25,4,3,3,16.0%,0.267
64,B MURRAY,93,4,2,4,4.3%,0.069
65,K HANNAN,30,4,1,2,13.3%,0.174
66,J LAKING,11,4,1,1,36.4%,0.444
67,S KARNICNIK,19,4,1,1,21.1%,0.257
68,T TAIAROA,78,3,7,5,3.8%,0.110
69,N ABDUL,43,3,6,5,7.0%,0.186
70,G LAHOUD,23,3,4,0,13.0%,0.227
71,R MUNIANDY,41,3,2,5,7.3%,0.141
72,E FARR,21,3,2,4,14.3%,0.259
73,D COOPER,36,3,2,3,8.3%,0.142
74,U HOLMQUIST,63,3,1,3,4.8%,0.072
75,A KURU,5,3,0,2,60.0%,0.733
76,B GRYLLS,115,2,6,8,1.7%,0.070
77,T DAVIES,73,2,6,7,2.7%,0.105
78,T MOSELEY,46,2,4,5,4.3%,0.128
79,S TOOLOOA,45,2,3,4,4.4%,0.111
80,D PARKER,25,2,2,5,8.0%,0.191
81,R BEEHARRY,25,2,1,1,8.0%,0.116
82,D BOTHAMLEY,32,2,0,5,6.3%,0.115
83,C GAUDRAY,8,2,0,1,25.0%,0.292
84,S KHETOO,19,2,0,2,10.5%,0.140
85,T JONKER,103,1,11,5,1.0%,0.085
86,W PINN,35,1,4,4,2.9%,0.130
87,SAR O'MALLEY,48,1,3,6,2.1%,0.097
88,J POWER,23,1,3,4,4.3%,0.174
89,R JAUN,55,1,3,2,1.8%,0.061
90,R HURDLE,3,1,2,0,33.3%,0.704
91,L OLSEN,3,1,1,0,33.3%,0.519
92,A RIDDELL,3,1,1,0,33.3%,0.519
93,S MYNOTT,8,1,1,0,12.5%,0.194
94,B SHINN,5,1,1,1,20.0%,0.378
95,S COLLETT,7,1,0,1,14.3%,0.190
96,D STACKHOUSE,8,1,0,0,12.5%,0.125
97,A SCOTT,4,1,0,0,25.0%,0.250
98,K KALYCHURUN,2,1,0,0,50.0%,0.500
99,C WILES,2,1,0,0,50.0%,0.500
100,H HASSMAN,4,1,0,0,25.0%,0.250
101,C CARMINE,17,1,0,0,5.9%,0.059
102,JAS COLLETT,8,1,0,0,12.5%,0.125
103,T THORNTON,32,0,4,4,0.0%,0.111
104,K WILES,11,0,3,0,0.0%,0.152
105,M ROUSTOBY,10,0,2,2,0.0%,0.178
106,S MOHAMMED,4,0,2,0,0.0%,0.278
107,C LINDSAY,61,0,2,1,0.0%,0.024
108,J KENNEDY,8,0,1,0,0.0%,0.069
109,J WHITESIDE,13,0,1,0,0.0%,0.043
110,S K MACNAB,5,0,1,1,0.0%,0.178
111,A BOHORUN,13,0,1,2,0.0%,0.094
112,N DOWNS,21,0,1,1,0.0%,0.042
113,S MUNIANDY,9,0,1,0,0.0%,0.062
114,L KENNEDY,4,0,0,1,0.0%,0.083
115,T BAU,10,0,0,0,0.0%,0.000
116,L KAURI,12,0,0,1,0.0%,0.028
117,K SINGH,2,0,0,0,0.0%,0.000
118,T HARRIS,6,0,0,0,0.0%,0.000
119,C ISDALE,1,0,0,0,0.0%,0.000
120,S PASWAN,1,0,0,0,0.0%,0.000
121,E TAIAROA,1,0,0,0,0.0%,0.000
122,E WOLLER,3,0,0,0,0.0%,0.000
123,K MACNAB,3,0,0,2,0.0%,0.222
124,T MITCHELL,6,0,0,0,0.0%,0.000
125,M NORTHCOTT,4,0,0,0,0.0%,0.000
126,B HONG,6,0,0,0,0.0%,0.000
127,D BRADLEY,6,0,0,0,0.0%,0.000
128,M KAREEM,2,0,0,0,0.0%,0.000
129,N SMITH,3,0,0,0,0.0%,0.000
130,E QUINN,1,0,0,1,0.0%,0.333
131,G WALSH,10,0,0,0,0.0%,0.000
132,H FLEMING,2,0,0,0,0.0%,0.000
133,N JENKINS,2,0,0,0,0.0%,0.000
134,J GOODWIN,1,0,0,0,0.0%,0.000
135,V JALALKUNCH,13,0,0,0,0.0%,0.000
136,H CREAN,1,0,0,0,0.0%,0.000
137,T SOLOMON,1,0,0,1,0.0%,0.333
138,K DOWNING,1,0,0,0,0.0%,0.000
139,A FRYE,3,0,0,1,0.0%,0.111
140,R BISHOP,4,0,0,0,0.0%,0.000
141,T ALLAN,13,0,0,1,0.0%,0.026
142,B LAMMAS,3,0,0,0,0.0%,0.000
143,Y KUMAGAI,4,0,0,0,0.0%,0.000
144,V RATHOAR,11,0,0,2,0.0%,0.061
